fecha,laboratorio,dosis_administradas,segundas_dosis_por_administrar,dosis_importadas,dosis_en_stock
2020-12-24,AstraZeneca,0,0,0,0
2020-12-24,CanSino,0,0,0,0
2020-12-24,Pfizer,420,420,9750,9330
2020-12-24,Sinovac,0,0,0,0
2020-12-24,todos laboratorios,420,420,9750,9330
2020-12-25,AstraZeneca,0,0,0,0
2020-12-25,CanSino,0,0,0,0
2020-12-25,Pfizer,5201,5201,9750,4549
2020-12-25,Sinovac,0,0,0,0
2020-12-25,todos laboratorios,5201,5201,9750,4549
2020-12-26,AstraZeneca,0,0,0,0
2020-12-26,CanSino,0,0,0,0
2020-12-26,Pfizer,8344,8344,9750,1406
2020-12-26,Sinovac,0,0,0,0
2020-12-26,todos laboratorios,8344,8344,9750,1406
2020-12-27,AstraZeneca,0,0,0,0
2020-12-27,CanSino,0,0,0,0
2020-12-27,Pfizer,8655,8655,9750,1095
2020-12-27,Sinovac,0,0,0,0
2020-12-27,todos laboratorios,8655,8655,9750,1095
2020-12-28,AstraZeneca,0,0,0,0
2020-12-28,CanSino,0,0,0,0
2020-12-28,Pfizer,8655,8655,9750,1095
2020-12-28,Sinovac,0,0,0,0
2020-12-28,todos laboratorios,8655,8655,9750,1095
2020-12-29,AstraZeneca,0,0,0,0
2020-12-29,CanSino,0,0,0,0
2020-12-29,Pfizer,8655,8655,9750,1095
2020-12-29,Sinovac,0,0,0,0
2020-12-29,todos laboratorios,8655,8655,9750,1095
2020-12-30,AstraZeneca,0,0,0,0
2020-12-30,CanSino,0,0,0,0
2020-12-30,Pfizer,8655,8655,9750,1095
2020-12-30,Sinovac,0,0,0,0
2020-12-30,todos laboratorios,8655,8655,9750,1095
2020-12-31,AstraZeneca,0,0,0,0
2020-12-31,CanSino,0,0,0,0
2020-12-31,Pfizer,8655,8655,21450,12795
2020-12-31,Sinovac,0,0,0,0
2020-12-31,todos laboratorios,8655,8655,21450,12795
2021-01-01,AstraZeneca,0,0,0,0
2021-01-01,CanSino,0,0,0,0
2021-01-01,Pfizer,8655,8655,21450,12795
2021-01-01,Sinovac,0,0,0,0
2021-01-01,todos laboratorios,8655,8655,21450,12795
2021-01-02,AstraZeneca,0,0,0,0
2021-01-02,CanSino,0,0,0,0
2021-01-02,Pfizer,8655,8655,21450,12795
2021-01-02,Sinovac,0,0,0,0
2021-01-02,todos laboratorios,8655,8655,21450,12795
2021-01-03,AstraZeneca,0,0,0,0
2021-01-03,CanSino,0,0,0,0
2021-01-03,Pfizer,8655,8655,21450,12795
2021-01-03,Sinovac,0,0,0,0
2021-01-03,todos laboratorios,8655,8655,21450,12795
2021-01-04,AstraZeneca,0,0,0,0
2021-01-04,CanSino,0,0,0,0
2021-01-04,Pfizer,9060,9060,21450,12390
2021-01-04,Sinovac,0,0,0,0
